old-timer 1.51 -0.43 -1.48 1.51 -0.43 -1.48
old_geezer 0.12 -0.81 -1.50 0.12 -0.81 -1.50
old_maid 0.61 -1.17 -1.69 0.61 -1.17 -1.69
opponent -0.50 0.52 1.17 -0.50 0.52 1.17
opportunist 1.77 1.71 1.57 1.77 1.71 1.57
organizer 1.93 1.71 0.86 1.93 1.71 0.86
orphan -0.37 -1.04 -0.78 -0.37 -1.04 -0.78
outlaw -1.82 0.97 1.70 -1.82 0.97 1.70
pagan -0.63 -0.14 -0.45 -0.63 -0.14 -0.45
pal 2.83 1.87 1.80 2.83 1.87 1.80
paranoid -1.81 -1.50 0.31 -1.81 -1.50 0.31
parent 2.71 2.58 1.55 2.71 2.58 1.55
parolee -0.65 -0.36 -0.26 -0.65 -0.36 -0.26
partner 2.34 1.81 1.04 2.34 1.81 1.04
passerby 0.40 -0.41 -0.55 0.40 -0.41 -0.55
pastor 2.54 2.09 -0.16 2.54 2.09 -0.16
patient 0.98 -0.73 -0.97 0.98 -0.73 -0.97
patriot 1.81 1.65 1.59 1.81 1.65 1.59
patrolman 0.47 1.42 0.45 0.47 1.42 0.45
pauper -0.40 -1.31 -0.85 -0.40 -1.31 -0.85
pedestrian 0.58 -0.80 -0.48 0.58 -0.80 -0.48
pediatrician 2.54 1.79 0.59 2.54 1.79 0.59
pessimist -1.81 -1.95 -1.03 -1.81 -1.95 -1.03
pest -2.01 -0.48 0.83 -2.01 -0.48 0.83
physician 2.25 2.21 0.70 2.25 2.21 0.70
pickpocket -2.94 -0.56 0.13 -2.94 -0.56 0.13
pickup 0.82 1.18 1.51 0.82 1.18 1.51
pimp -1.36 1.49 1.60 -1.36 1.49 1.60
plainclothesman 0.18 -0.21 -0.76 0.18 -0.21 -0.76
playmate 2.17 1.09 1.81 2.17 1.09 1.81
police_officer 0.17 1.40 1.13 0.17 1.40 1.13
politician -0.38 2.04 1.89 -0.38 2.04 1.89
pornographer -1.49 0.21 0.79 -1.49 0.21 0.79
practical_nurse 2.55 1.68 0.94 2.55 1.68 0.94
preacher 2.24 2.09 0.44 2.24 2.09 0.44
priest 1.81 1.55 -1.00 1.81 1.55 -1.00
priestess 1.21 1.12 -0.17 1.21 1.12 -0.17
principal 1.35 2.13 0.75 1.35 2.13 0.75
private_eye 0.50 1.25 -0.50 0.50 1.25 -0.50
probationer -0.35 0.38 0.15 -0.35 0.38 0.15
professor 1.72 1.73 0.44 1.72 1.73 0.44
prosecuting_attorney 0.23 1.78 1.30 0.23 1.78 1.30
prostitute -2.29 -2.12 1.15 -2.29 -2.12 1.15
prot_ege 1.39 0.58 0.53 1.39 0.58 0.53
Protestant 1.00 0.29 0.35 1.00 0.29 0.35
protester 0.46 0.72 1.97 0.46 0.72 1.97
psychiatrist 1.12 1.38 -0.91 1.12 1.38 -0.91
psychopath -2.61 -0.32 0.89 -2.61 -0.32 0.89
psychotic -1.54 -0.48 1.16 -1.54 -0.48 1.16
public_defender 1.11 1.09 1.28 1.11 1.09 1.28
punk -1.21 -0.49 1.01 -1.21 -0.49 1.01
pupil 1.29 -0.35 0.08 1.29 -0.35 0.08
purchaser 1.07 1.31 0.80 1.07 1.31 0.80
quack -1.29 -0.61 0.42 -1.29 -0.61 0.42
queer -0.44 -0.57 0.22 -0.44 -0.57 0.22
questioner 0.40 0.64 0.12 0.40 0.64 0.12
rabbi 1.35 1.31 -0.21 1.35 1.31 -0.21
racist -3.14 -0.80 0.99 -3.14 -0.80 0.99
racketeer -0.77 0.95 1.24 -0.77 0.95 1.24
rapist -3.94 -0.22 0.60 -3.94 -0.22 0.60
receptionist 1.33 0.10 0.14 1.33 0.10 0.14
redhead 0.50 -0.10 0.86 0.50 -0.10 0.86
registered_nurse 2.29 1.47 0.99 2.29 1.47 0.99
relative 1.98 1.00 0.64 1.98 1.00 0.64
retiree 1.31 -0.32 -1.50 1.31 -0.32 -1.50
right-hand_man 1.46 1.00 0.89 1.46 1.00 0.89
right-winger -0.09 0.63 0.54 -0.09 0.63 0.54
rival -0.67 0.81 1.36 -0.67 0.81 1.36
robber -2.91 0.35 0.20 -2.91 0.35 0.20
role_model 2.58 2.52 1.68 2.58 2.52 1.68
roommate 1.15 0.80 0.92 1.15 0.80 0.92
sadist -1.74 -0.46 -0.28 -1.74 -0.46 -0.28
saint 3.05 2.38 0.14 3.05 2.38 0.14
salesclerk 0.75 -0.09 0.69 0.75 -0.09 0.69
saleslady 0.82 0.22 0.91 0.82 0.22 0.91
salesman -0.10 0.50 1.88 -0.10 0.50 1.88
Santa_Claus 2.55 1.67 1.79 2.55 1.67 1.79
sawbones -0.21 0.01 0.19 -0.21 0.01 0.19
schizophrenic -1.31 -1.21 0.85 -1.31 -1.21 0.85
scholar 1.90 1.47 0.21 1.90 1.47 0.21
schoolboy 0.79 -0.58 1.14 0.79 -0.58 1.14
schoolgirl 1.57 -0.75 0.60 1.57 -0.75 0.60
schoolmate 1.69 0.57 0.80 1.69 0.57 0.80
schoolteacher 2.18 1.66 0.93 2.18 1.66 0.93
scientist 1.53 1.70 -0.32 1.53 1.70 -0.32
scrooge -2.28 -0.17 -0.86 -2.28 -0.17 -0.86
secretary 1.19 -0.15 -0.02 1.19 -0.15 -0.02
senior_citizen 1.72 -0.60 -1.64 1.72 -0.60 -1.64
serial_murderer -3.38 1.18 -0.19 -3.38 1.18 -0.19
server 1.16 0.26 1.22 1.16 0.26 1.22
sexist -2.54 -0.33 0.93 -2.54 -0.33 0.93
sheriff 0.95 1.49 0.70 0.95 1.49 0.70
shop_clerk 0.90 0.14 0.12 0.90 0.14 0.12
shopkeeper 1.19 0.66 0.29 1.19 0.66 0.29
shoplifter -2.56 -1.04 -0.27 -2.56 -1.04 -0.27
shopper 1.56 0.96 1.08 1.56 0.96 1.08
shrink 0.90 1.23 -0.68 0.90 1.23 -0.68
sibling 1.72 1.19 1.42 1.72 1.19 1.42
sick_person -1.02 -1.78 -1.96 -1.02 -1.78 -1.96
sinner -1.83 -1.02 0.07 -1.83 -1.02 0.07
sister-in-law 0.95 0.73 0.72 0.95 0.73 0.72
sister 2.24 1.45 1.48 2.24 1.45 1.48
skilled_worker 2.23 1.77 1.25 2.23 1.77 1.25
skirt_chaser -1.50 -0.20 1.37 -1.50 -0.20 1.37
slut -2.14 -0.94 1.29 -2.14 -0.94 1.29
small_businessman 1.62 0.10 0.33 1.62 0.10 0.33
smoker -2.23 -1.79 -0.91 -2.23 -1.79 -0.91
son-in-law 1.13 0.36 0.70 1.13 0.36 0.70
son 1.95 1.66 1.89 1.95 1.66 1.89
soul_mate 3.47 2.86 1.41 3.47 2.86 1.41
spendthrift -0.20 0.04 -0.06 -0.20 0.04 -0.06
spinster -0.41 -0.01 -0.05 -0.41 -0.01 -0.05
spokesman 1.15 1.43 1.59 1.15 1.43 1.59
spokeswoman 1.51 1.38 1.14 1.51 1.38 1.14
sponger -0.32 0.22 -0.40 -0.32 0.22 -0.40
sports_fan 1.48 1.27 2.33 1.48 1.27 2.33
spouse 2.34 1.80 1.07 2.34 1.80 1.07
state_trooper 0.19 2.33 1.05 0.19 2.33 1.05
steady 0.94 1.21 0.65 0.94 1.21 0.65
stepbrother 0.59 0.37 0.39 0.59 0.37 0.39
stepchild 0.46 -0.18 0.17 0.46 -0.18 0.17
stepdaughter 0.99 0.35 0.43 0.99 0.35 0.43
stepfather 0.55 0.69 0.26 0.55 0.69 0.26
stepmother 0.15 0.20 0.24 0.15 0.20 0.24
stepparent 0.38 0.20 0.16 0.38 0.20 0.16
stepsister 0.47 -0.05 0.75 0.47 -0.05 0.75
stepson 0.74 0.15 0.65 0.74 0.15 0.65
stoolpigeon -0.45 -0.30 -0.66 -0.45 -0.30 -0.66
stranger -0.03 -0.17 -0.34 -0.03 -0.17 -0.34
strike_breaker 0.46 0.79 0.91 0.46 0.79 0.91
strike_leader 0.40 1.38 1.91 0.40 1.38 1.91
stud 1.01 1.26 1.28 1.01 1.26 1.28
student_teacher 1.48 0.05 0.38 1.48 0.05 0.38
student 1.86 0.72 1.13 1.86 0.72 1.13
stuffed_shirt -0.37 -0.47 0.01 -0.37 -0.47 0.01
subordinate -0.28 -1.27 -0.49 -0.28 -1.27 -0.49
superior 1.07 2.19 1.32 1.07 2.19 1.32
superordinate 0.53 1.24 0.95 0.53 1.24 0.95
supervisor 0.90 2.03 1.27 0.90 2.03 1.27
supporter 2.30 1.95 1.25 2.30 1.95 1.25
